Buchungsdatum;Konto;Bezeichnung;Soll (EUR);Haben (EUR);Beleg
2024-11-19;4401;Umsatzerlöse Lagerung;;7083,41;BEL-2024-3001
2024-02-11;6000;Personalaufwand;1210,10;;BEL-2024-3002
2024-11-21;4401;Umsatzerlöse Lagerung;;5388,56;BEL-2024-3003
2024-10-25;4400;Umsatzerlöse Transport;;27331,33;BEL-2024-3004
2024-01-02;6200;Kfz-Kosten;11699,25;;BEL-2024-3005
2024-08-01;4400;Umsatzerlöse Transport;;19193,01;BEL-2024-3006
2024-02-16;6200;Kfz-Kosten;37880,25;;BEL-2024-3007
2024-10-25;6200;Kfz-Kosten;8522,55;;BEL-2024-3008
2024-11-19;6800;Bürobedarf;8119,57;;BEL-2024-3009
2024-03-10;6000;Personalaufwand;22064,07;;BEL-2024-3010
2024-01-25;4401;Umsatzerlöse Lagerung;;725,59;BEL-2024-3011
2024-09-14;4401;Umsatzerlöse Lagerung;;3047,66;BEL-2024-3012
2024-04-04;4400;Umsatzerlöse Transport;;14072,21;BEL-2024-3013
2024-12-28;6300;Miete Lagerfläche;28751,84;;BEL-2024-3014
2024-01-12;6000;Personalaufwand;34694,96;;BEL-2024-3015
2024-11-06;6800;Bürobedarf;21195,31;;BEL-2024-3016
2024-12-03;4400;Umsatzerlöse Transport;;26203,16;BEL-2024-3017
2024-05-02;6300;Miete Lagerfläche;27306,53;;BEL-2024-3018
2024-06-22;4401;Umsatzerlöse Lagerung;;24221,80;BEL-2024-3019
2024-07-27;4401;Umsatzerlöse Lagerung;;13352,33;BEL-2024-3020
2024-09-20;6000;Personalaufwand;15843,81;;BEL-2024-3021
2024-03-24;4400;Umsatzerlöse Transport;;18435,11;BEL-2024-3022
2024-08-17;6300;Miete Lagerfläche;34448,87;;BEL-2024-3023
2024-10-02;6200;Kfz-Kosten;46401,36;;BEL-2024-3024
2024-04-20;6300;Miete Lagerfläche;21048,76;;BEL-2024-3025
2024-08-09;6800;Bürobedarf;29116,12;;BEL-2024-3026
2024-08-06;6200;Kfz-Kosten;37675,10;;BEL-2024-3027
2024-06-23;4401;Umsatzerlöse Lagerung;;44079,07;BEL-2024-3028
2024-05-01;6000;Personalaufwand;9873,94;;BEL-2024-3029
2024-11-05;4401;Umsatzerlöse Lagerung;;31974,40;BEL-2024-3030
2024-06-04;6300;Miete Lagerfläche;23030,98;;BEL-2024-3031
2024-02-22;6000;Personalaufwand;4486,66;;BEL-2024-3032
2024-12-02;6000;Personalaufwand;6389,26;;BEL-2024-3033
2024-10-20;6300;Miete Lagerfläche;5596,16;;BEL-2024-3034
2024-02-05;6000;Personalaufwand;662,31;;BEL-2024-3035
2024-05-10;6800;Bürobedarf;21794,79;;BEL-2024-3036
2024-12-22;6000;Personalaufwand;29494,97;;BEL-2024-3037
2024-07-21;6200;Kfz-Kosten;22908,29;;BEL-2024-3038
2024-11-07;6300;Miete Lagerfläche;44541,90;;BEL-2024-3039
2024-03-20;4401;Umsatzerlöse Lagerung;;14591,52;BEL-2024-3040
2024-08-08;6000;Personalaufwand;47585,01;;BEL-2024-3041
2024-02-16;6000;Personalaufwand;34777,87;;BEL-2024-3042
2024-05-14;4401;Umsatzerlöse Lagerung;;40347,61;BEL-2024-3043
2024-03-08;6200;Kfz-Kosten;17047,02;;BEL-2024-3044
2024-11-24;4401;Umsatzerlöse Lagerung;;7462,23;BEL-2024-3045
2024-01-06;6200;Kfz-Kosten;47160,82;;BEL-2024-3046
2024-02-14;4401;Umsatzerlöse Lagerung;;18411,06;BEL-2024-3047
2024-06-21;4401;Umsatzerlöse Lagerung;;1235,64;BEL-2024-3048
2024-12-01;4401;Umsatzerlöse Lagerung;;12253,75;BEL-2024-3049
2024-06-04;6300;Miete Lagerfläche;40860,52;;BEL-2024-3050
2024-10-13;6200;Kfz-Kosten;37131,80;;BEL-2024-3051
2024-06-19;6000;Personalaufwand;10453,85;;BEL-2024-3052
2024-03-16;6300;Miete Lagerfläche;13318,19;;BEL-2024-3053
2024-12-19;6800;Bürobedarf;43843,28;;BEL-2024-3054
2024-10-22;6000;Personalaufwand;30642,89;;BEL-2024-3055
2024-10-11;6300;Miete Lagerfläche;40479,03;;BEL-2024-3056
2024-12-18;6300;Miete Lagerfläche;9074,70;;BEL-2024-3057
2024-08-21;6200;Kfz-Kosten;24735,63;;BEL-2024-3058
2024-02-22;4400;Umsatzerlöse Transport;;17621,07;BEL-2024-3059
2024-03-23;4401;Umsatzerlöse Lagerung;;45278,44;BEL-2024-3060
2024-06-05;4400;Umsatzerlöse Transport;;7047,70;BEL-2024-3061
2024-09-03;6200;Kfz-Kosten;29905,94;;BEL-2024-3062
2024-12-24;6300;Miete Lagerfläche;41450,89;;BEL-2024-3063
2024-08-19;6300;Miete Lagerfläche;41848,65;;BEL-2024-3064
2024-08-16;6000;Personalaufwand;30839,26;;BEL-2024-3065
2024-02-19;4401;Umsatzerlöse Lagerung;;3379,29;BEL-2024-3066
2024-04-26;4400;Umsatzerlöse Transport;;5903,65;BEL-2024-3067
2024-02-03;6300;Miete Lagerfläche;8709,61;;BEL-2024-3068
2024-06-28;6200;Kfz-Kosten;22448,34;;BEL-2024-3069
2024-08-19;6200;Kfz-Kosten;26571,26;;BEL-2024-3070
2024-04-23;6000;Personalaufwand;31466,76;;BEL-2024-3071
2024-04-23;6300;Miete Lagerfläche;4588,14;;BEL-2024-3072
2024-04-09;6800;Bürobedarf;45084,95;;BEL-2024-3073
2024-02-01;4401;Umsatzerlöse Lagerung;;14073,39;BEL-2024-3074
2024-01-03;4401;Umsatzerlöse Lagerung;;16538,41;BEL-2024-3075
2024-07-27;4400;Umsatzerlöse Transport;;20143,37;BEL-2024-3076
2024-08-06;6200;Kfz-Kosten;32792,12;;BEL-2024-3077
2024-03-18;6000;Personalaufwand;46683,57;;BEL-2024-3078
2024-10-05;4400;Umsatzerlöse Transport;;37817,16;BEL-2024-3079
2024-11-03;6300;Miete Lagerfläche;33042,44;;BEL-2024-3080
2024-01-16;4401;Umsatzerlöse Lagerung;;1410,48;BEL-2024-3081
2024-06-13;4401;Umsatzerlöse Lagerung;;5262,94;BEL-2024-3082
2024-12-03;6200;Kfz-Kosten;26375,31;;BEL-2024-3083
2024-10-02;6000;Personalaufwand;28549,13;;BEL-2024-3084
2024-12-26;4401;Umsatzerlöse Lagerung;;11239,09;BEL-2024-3085
2024-08-07;6800;Bürobedarf;37411,03;;BEL-2024-3086
2024-12-24;6800;Bürobedarf;35826,44;;BEL-2024-3087
