Datum;Verwendungszweck;Betrag (EUR);Saldo (EUR)
2025-07-27;Versicherungsbeitrag;17819,04;1257819,04
2025-08-25;Gehaltslauf;-55022,59;1202796,45
2025-07-23;Zahlungseingang Kranich Handels AG;59652,95;1262449,40
2025-08-26;Gehaltslauf;31280,50;1293729,90
2025-08-02;Zahlungseingang Kranich Handels AG;38155,25;1331885,15
2025-09-11;Versicherungsbeitrag;30748,37;1362633,52
2025-09-16;Zahlungseingang Kranich Handels AG;-23765,46;1338868,06
2025-09-28;Gehaltslauf;116458,42;1455326,48
2025-09-18;Miete Lagerhalle;80142,13;1535468,61
2025-07-13;Zahlungseingang Kranich Handels AG;34147,91;1569616,52
2025-08-20;Zahlungseingang Elbe Spedition GmbH;15913,29;1585529,81
2025-09-15;Zahlungseingang Kranich Handels AG;96063,14;1681592,95
2025-07-07;Zahlungseingang Kranich Handels AG;84077,82;1765670,77
2025-08-22;Lastschrift Kraftstoff;113863,47;1879534,24
2025-09-27;Zahlungseingang Elbe Spedition GmbH;87432,10;1966966,34
2025-07-19;Versicherungsbeitrag;-82127,07;1884839,27
2025-09-14;Zahlungseingang Kranich Handels AG;11163,31;1896002,58
2025-08-01;Versicherungsbeitrag;30107,06;1926109,64
2025-07-19;Lastschrift Kraftstoff;-88261,47;1837848,17
2025-07-22;Gehaltslauf;87495,97;1925344,14
2025-07-12;Versicherungsbeitrag;-87056,90;1838287,24
2025-09-16;Versicherungsbeitrag;-1676,77;1836610,47
2025-08-13;Gehaltslauf;61606,38;1898216,85
2025-07-13;Versicherungsbeitrag;-76910,16;1821306,69
2025-08-18;Versicherungsbeitrag;12614,43;1833921,12
2025-09-08;Gehaltslauf;-64984,68;1768936,44
2025-07-11;Lastschrift Kraftstoff;76775,84;1845712,28
2025-07-09;Miete Lagerhalle;-41475,48;1804236,80
2025-07-15;Zahlungseingang Elbe Spedition GmbH;13072,77;1817309,57
2025-08-02;Versicherungsbeitrag;-89195,10;1728114,47
2025-08-02;Lastschrift Kraftstoff;48492,63;1776607,10
2025-08-12;Gehaltslauf;49673,56;1826280,66
2025-09-21;Gehaltslauf;629,30;1826909,96
2025-09-22;Gehaltslauf;115845,10;1942755,06
2025-09-24;Lastschrift Kraftstoff;-39185,43;1903569,63
2025-08-21;Gehaltslauf;-65610,48;1837959,15
2025-08-26;Gehaltslauf;112909,80;1950868,95
2025-09-13;Miete Lagerhalle;103225,61;2054094,56
2025-09-21;Versicherungsbeitrag;-62494,69;1991599,87
2025-09-10;Zahlungseingang Kranich Handels AG;95995,00;2087594,87
2025-09-10;Lastschrift Kraftstoff;22728,11;2110322,98
2025-08-28;Lastschrift Kraftstoff;41405,17;2151728,15
2025-08-17;Zahlungseingang Elbe Spedition GmbH;-3985,21;2147742,94
2025-09-02;Versicherungsbeitrag;114915,48;2262658,42
2025-09-19;Zahlungseingang Elbe Spedition GmbH;-20168,76;2242489,66
2025-09-24;Versicherungsbeitrag;-54129,26;2188360,40
2025-07-28;Lastschrift Kraftstoff;103687,46;2292047,86
2025-09-22;Miete Lagerhalle;105917,30;2397965,16
2025-08-27;Miete Lagerhalle;54502,39;2452467,55
2025-08-26;Versicherungsbeitrag;-60726,83;2391740,72
2025-08-19;Zahlungseingang Kranich Handels AG;5779,79;2397520,51
2025-07-19;Miete Lagerhalle;-53723,98;2343796,53
2025-08-20;Zahlungseingang Elbe Spedition GmbH;108255,95;2452052,48
2025-08-08;Gehaltslauf;-56323,33;2395729,15
2025-09-08;Lastschrift Kraftstoff;-30854,14;2364875,01
2025-07-18;Miete Lagerhalle;-3356,04;2361518,97
2025-07-20;Gehaltslauf;-76610,08;2284908,89
2025-08-07;Gehaltslauf;35374,98;2320283,87
2025-09-20;Zahlungseingang Elbe Spedition GmbH;76236,64;2396520,51
2025-08-12;Miete Lagerhalle;-84089,27;2312431,24
2025-09-02;Miete Lagerhalle;90894,44;2403325,68
2025-09-09;Lastschrift Kraftstoff;-31872,12;2371453,56
2025-07-05;Miete Lagerhalle;29134,19;2400587,75
2025-07-24;Versicherungsbeitrag;12237,18;2412824,93
2025-08-15;Zahlungseingang Elbe Spedition GmbH;-13926,25;2398898,68
2025-09-01;Zahlungseingang Elbe Spedition GmbH;2188,66;2401087,34
2025-08-12;Lastschrift Kraftstoff;1226,58;2402313,92
2025-08-12;Zahlungseingang Elbe Spedition GmbH;-67139,86;2335174,06
2025-09-24;Gehaltslauf;92862,67;2428036,73
2025-09-17;Gehaltslauf;38623,44;2466660,17
2025-07-16;Lastschrift Kraftstoff;81144,08;2547804,25
2025-09-14;Versicherungsbeitrag;-70071,16;2477733,09
2025-08-17;Lastschrift Kraftstoff;117477,26;2595210,35
2025-07-05;Zahlungseingang Elbe Spedition GmbH;-7690,90;2587519,45
2025-09-06;Zahlungseingang Kranich Handels AG;63150,15;2650669,60
2025-09-17;Lastschrift Kraftstoff;30330,14;2680999,74
2025-08-27;Lastschrift Kraftstoff;-36915,57;2644084,17
2025-08-12;Versicherungsbeitrag;-77865,44;2566218,73
2025-08-24;Lastschrift Kraftstoff;41127,03;2607345,76
2025-07-22;Gehaltslauf;-49619,34;2557726,42
